method,metrics,value
Cyclum,RI,0.683361345
Cyclum,ARI,0.360991699
Cyclum,NMI,0.393839725
Cyclum,Accuracy,0.742857143
Cyclum,Precision,0.744211445
Cyclum,Recall,0.689285714
Cyclum,Fscore,0.719311387
CYCLOPS,RI,0.817310924
CYCLOPS,ARI,0.619124573
CYCLOPS,NMI,0.602226488
CYCLOPS,Accuracy,0.845714286
CYCLOPS,Precision,0.804636928
CYCLOPS,Recall,0.82797619
CYCLOPS,Fscore,0.837769005
CCPE,RI,1
CCPE,ARI,1
CCPE,NMI,1
CCPE,Accuracy,1
CCPE,Precision,1
CCPE,Recall,1
CCPE,Fscore,1
reCAT,RI,0.474789916
reCAT,ARI,0.046812217
reCAT,NMI,0.194477806
reCAT,Accuracy,0.474285714
reCAT,Precision,0.727390163
reCAT,Recall,0.450833333
reCAT,Fscore,0.377111111
cyclone,RI,0.721008403
cyclone,ARI,0.402314014
cyclone,NMI,0.520412425
cyclone,Accuracy,0.771428571
cyclone,Precision,0.791666667
cyclone,Recall,0.841666667
cyclone,Fscore,0.776515152
Seurat,RI,0.603361345
Seurat,ARI,0.14665273
Seurat,NMI,0.232526556
Seurat,Accuracy,0.542857143
Seurat,Precision,0.516883117
Seurat,Recall,0.553571429
Seurat,Fscore,0.520123839
