method,metrics,AVG
Cyclum,RI,0.76714818
Cyclum,ARI,0.47678703
Cyclum,NMI,0.421624338
Cyclum,Accuracy,0.790625
Cyclum,Precision,0.79389668
Cyclum,Recall,0.790625
Cyclum,Fscore,0.789063793
CYCLOPS,RI,0.580737031
CYCLOPS,ARI,0.067213331
CYCLOPS,NMI,0.064109074
CYCLOPS,Accuracy,0.494444444
CYCLOPS,Precision,0.493631436
CYCLOPS,Recall,0.494444444
CYCLOPS,Fscore,0.486765626
CCPE,RI,0.852279326
CCPE,ARI,0.666501326
CCPE,NMI,0.606322223
CCPE,Accuracy,0.875
CCPE,Precision,0.874352135
CCPE,Recall,0.875
CCPE,Fscore,0.874566066
reCAT,RI,0.563097658
reCAT,ARI,0.24556955
reCAT,NMI,0.359849612
reCAT,Accuracy,0.445486111
reCAT,Precision,0.474932459
reCAT,Recall,0.445486111
reCAT,Fscore,NaN
cyclone,RI,0.793031359
cyclone,ARI,0.53358768
cyclone,NMI,0.499185003
cyclone,Accuracy,0.814930556
cyclone,Precision,0.817249784
cyclone,Recall,0.814930556
cyclone,Fscore,0.814487168
Seurat,RI,0.654737708
Seurat,ARI,0.236593276
Seurat,NMI,0.234164317
Seurat,Accuracy,0.559027778
Seurat,Precision,0.560038061
Seurat,Recall,0.559027778
Seurat,Fscore,0.545393881
