"G1_cell1"	"G1_cell2"	"G1_cell3"	"G1_cell4"	"G1_cell5"	"G1_cell6"	"G1_cell7"	"G1_cell8"	"G1_cell9"	"G1_cell10"	"G1_cell11"	"G1_cell12"	"G1_cell13"	"G1_cell14"	"G1_cell15"	"G1_cell16"	"G1_cell17"	"G1_cell18"	"G1_cell19"	"G1_cell20"	"S_cell1"	"S_cell2"	"S_cell3"	"S_cell4"	"S_cell5"	"S_cell6"	"S_cell7"	"G2M_cell1"	"G2M_cell2"	"G2M_cell3"	"G2M_cell4"	"G2M_cell5"	"G2M_cell6"	"G2M_cell7"	"G2M_cell8"
"Sult5a1"	0	0	3.96798934499609	0.227943112918592	0	5.23351997877392	4.96473131018844	0	0	0	0	0	0	0	5.13612985055257	0	3.96482370712719	0.161111158426689	4.96473131018844	0.0949293428954368	0.214476730267693	0.187102611393706	5.45683571235054	6.08148876413845	0.0769051909741567	0.439579523628441	5.40528444883326	0	0.901754703644047	0.135015090724196	0	0.13077816005026	6.24226332221819	3.59903208322281	0.137992645599191
"Gnb1l"	4.13676559327617	0.215443770726873	0.0732187679662328	5.42551972911132	0	0	0.0404242413398092	0	0	5.05024482784718	0	0.0315205443716751	4.49097438780414	5.63674931040488	0.251054921368761	0.0931136423019398	3.00894577056	0	0.0404242413398092	0	0.485746245709262	2.73007689612534	0.0813343093791318	0	0.543985772142509	4.89634451462546	0.0506159244208816	4.70556880371177	0	0.0271638204557181	0	0.157284354897388	0.137984778999551	0.451432165240375	3.57567537939318
"Top1mt"	4.65425221343669	0	0.887380994023542	3.54727707050638	0.315866446581651	0	0.0628472989885246	0	0	0	0	0	0	0.0248047517236626	0	4.45836231658935	4.29378981135227	0	0.0628472989885246	0.0593763225345407	0	0	0	0	4.68026246142328	3.63463973130597	0.152968654589386	0	0.0407613024654591	3.83221153487648	0	0.11452374709677	4.18581898315236	4.14836472130996	0.0911331371620608
"Hpn"	0.152370356851812	0.198795862228229	0.184397101962341	5.7593769093431	0	0.090958817845162	0	0	0	0	0	0	0	0	0	0	0	3.73119410519877	0	0	0	0	0	0	0.388277722123349	5.45206823022381	0	5.26734852020245	3.70018444951327	0.160269667390256	0	0	0	4.8821490251287	0.975166453856141
"Tmem79"	0.750602217473974	0	0	0	3.14872101883546	3.71142882750135	0.387008441490892	0	0.0228661802962402	3.82440127854842	0.424858683459949	0	3.83184684701531	0.233772738104504	0	0	4.12962098019468	3.31168184280361	0.387008441490892	0.0548388937187539	0.071825399775817	0	0	0	0	0	2.15438229871056	0	0.481773216750698	0.631039074336718	0	0	0	2.15034845575894	0
"Blvra"	0	0	0.863869484781891	0	0	0	5.2470502400494	0	0	0	0	0	0.117102551769204	4.9646666288102	0	0	0	0.0441960106125526	5.2470502400494	0	3.65714835340218	3.79194948022599	4.09172521857696	0	0	0	0	3.26250381728791	4.38113798803919	3.96107688972232	0.139713088887198	0	0	0	0
"Slc39a13"	3.23022761153764	0	0.0195389571930686	4.17920846660239	0	0	0	0	0.414458140905949	0.0974731272882855	0	5.99455935980701	0	0	0	0	0.211297588291331	5.24817426912339	0	0.998571024449853	0.103820686652251	5.02562683953227	0.0467272642714039	0.753957037907794	0	0	0	0	0.0207461117158811	4.01061873477869	0.0223607105123085	0.0705338649540445	4.70947812977558	0.0389543069122917	4.4256137175084
"Braf"	0	0	3.23251494513596	0	0.464542809806019	0.248178976052293	0.0118189351871468	3.46814014477825	2.39402840591129	0.849725501619742	0.0164281414953741	0	0	0	2.36653764062049	0	3.55587749283257	0	0.0118189351871468	3.03092928018572	3.33701312126515	3.04241320755367	0	0.0487035208214	3.07789924171284	0.00459117630853286	0	0.688814154547582	0.128277561636051	2.53603797573156	0.149090238945289	0.0435222933108026	3.1403893045871	2.1886224711125	2.43573792539296
"Ggct"	0	0	0	0	0	0.282433874079331	6.05281364125862	0.0748961304901195	0	0.0813865347322843	0	0	0	5.88870185452265	5.81530387334548	0.0799811092722831	0.0986189824890286	0.0808205456752394	6.05281364125862	0.0978536073856452	0	0	0	0	0	0.216915460668584	0	0.129478220987278	4.62145997340806	4.24952877529491	3.37024101759727	0	0	3.08217118735131	4.17478190503491
"Mcoln1"	0	0	0.606632679733088	0	0.0230412567968676	3.81348364475832	0	0.0938244882942702	3.74353651029689	0	0.0433916839435595	0	0	0	0	0	0	0	0	0	0	4.37490732310199	0.0930834807320569	5.02091106558169	0	0	0	3.93980955700718	0.0719206570328967	4.4148932225608	4.93738676834043	0	0	3.06415511392614	3.33067885860361
"Rps9"	10.7420230583842	11.3075992886464	11.0513381114081	10.7344556022587	11.551174721438	10.9648173550271	10.8213833652438	10.7078163732347	11.0875423994449	11.0046839647509	11.3046308203169	11.0572336350424	10.9993447211349	11.4419067045422	11.242465555813	11.0927373235442	10.7695816722833	10.7050621077616	10.8213833652438	11.3333957794489	10.6682999893102	10.6253252908704	10.5552026338783	10.1422730215219	10.0857247261791	9.96950164453271	10.7398987203219	10.5745840670112	10.5880680884046	10.4901288472881	10.5755865165398	10.6581132761578	10.8981100770522	10.2146955325191	10.6703110231137
"Bcl2l1"	0.0347253587722143	2.9926143659117	3.96809075204526	0.0182396221407602	0.812551619464444	3.83190763472772	0.025011496226148	0.794593034019	0.0387689324276491	4.42695574077777	0	0.0387145794835343	0.0366664958708763	0.0765793433409631	4.07554974488603	0	4.75764735454036	0.0203376275240738	0.025011496226148	0.0468754482703364	0.061432674327174	3.43270156929	3.78058307227862	0	0.0193477969775048	0.0385825508844943	4.90635669966655	3.98371417198763	3.3575590421377	0.434229488351073	0.0346290220720866	5.94409473951137	2.70124296464982	3.57862478713315	2.55817210439624
"Rplp1"	10.9222201524225	11.5514967918197	10.8024194282673	10.5240519187178	10.7923185355969	10.3069047245292	10.8415250367034	10.638481167203	10.7931399468914	10.0953442724666	11.7761245555452	10.8546814128246	10.7881881325196	11.0993017802009	10.9005649573591	11.0609390620492	10.360890967772	10.1422730215219	10.8415250367034	10.4744664641326	10.4025964164013	10.5456788437799	10.3948913664426	10.2456002407293	10.3353791882804	9.59946471911177	10.0836654695218	9.98763352209853	10.3568480792365	10.3372985415204	10.2703303712701	10.2393717851639	10.2788675701031	10.3500441237218	10.1820218367159
"Rps18"	9.83639441415868	10.143982617897	9.68486781751778	10.0014785680442	9.69232083056169	9.56488303872361	9.86967403357451	9.78690832403018	9.65597428592213	9.89594480732542	10.6292199947619	9.99391490407582	9.83036467081047	10.0407554732957	9.96888274934274	9.90837910951863	9.92517610005262	9.56243706042206	9.86967403357451	10.0677166872386	9.68366487746443	9.95172182905633	9.36574502078307	9.44048924249266	9.43045046080164	8.89696807907803	9.60427151930787	9.16780197710037	9.36316450506054	9.22662653389178	9.39727032224126	9.59954468488401	9.76495781820763	9.15700327530089	9.38389433559065
"Rpl10"	8.54724544726583	8.47009347897046	8.72356538722735	8.21015504660514	8.41366600551691	8.07614218222273	8.63947818777321	8.06465655070591	8.46976797123362	9.01640160203903	9.17323239292425	8.50108877931914	8.59244582456875	8.73500083912613	8.55996590351749	8.56128030678569	8.78248064545522	8.4240360833902	8.63947818777321	9.1176820575249	8.19279088984776	8.31408016748763	8.10555237292001	8.72006294793311	8.31126695800205	7.27065040770467	8.5458023816921	7.98820181432453	8.08852325661663	7.89857720373278	7.5318492857512	8.19980483115462	8.51257455814701	7.97794959075103	7.8893092586918
"Acyp1"	4.68461679098792	0.100268568802537	0	0.0778682136217355	5.50369219310054	0.086382282425915	0	0	3.31709998089274	0	4.60879741725787	5.76515280594604	0.356024332094992	6.36659848575092	0	0	0.303309658734132	5.17256352062253	0	0	0.0904547038540666	3.88362081628567	4.17688920649454	5.482564361654	0	0	0	4.10230539213473	0	0	0	0	5.88273352062085	0.127353429171833	0.122578236597051
"Phlda2"	0.120831122212298	0.0812348987177494	0	5.90376618454559	0	0	0.394717169573266	0	5.01696870200028	7.48524969971856	0	0.25757913325854	8.02337180130538	6.00392824532451	0.128649477029354	0.134703685307097	0.525568791120548	7.17318741124059	0.394717169573266	0.0828147037669028	0	0	0	0	0.133389129273339	6.4560241490343	0	3.11871520580562	4.60068603848422	5.26078595766952	4.87228210598292	4.650391201982	0	6.90536293482708	6.22895141233453
"Rps5"	11.0333610524242	11.8335898362398	11.4550240580859	11.4610189392094	11.5674190039858	11.4556611388435	11.5735761869746	11.5666344253536	11.1335853587499	11.1175781721584	12.0043995629107	11.4987594714994	11.6021931372905	11.9115605171399	12.0674175538664	11.9036672326517	11.4679926620657	11.564749693965	11.5735761869746	11.6013668886683	11.7203340497904	11.5321269852242	11.377487110819	11.175331227475	11.2553650020175	11.3540124034046	11.6973933191595	10.9721613089903	11.3371591396507	10.8499132779823	11.0809307540778	11.1966451547068	11.6371501297995	11.0844230863006	11.1462377152316
"2310061C15Rik"	4.80440468770764	0.166405666049229	4.01431065444488	0.13952188428424	0	4.69213702293913	0	0	0	5.00833449365359	6.15258095740016	0.0580927132907112	0.286625697199383	5.97655381329979	0.157372322529614	5.02199932385508	0	0	0	0	0.0350730469476363	4.42482133783243	3.18770599736349	0	0.659856987558602	5.90532442168607	0.168896153406853	0.237791301110688	5.61249109934518	3.84196305825723	0	3.167047965522	4.52544877042068	3.27722304124322	3.6456094411835
"Pls3"	0	0.03579660054745	0	0.0282739352732709	4.64463503482756	0	0.0949265061675312	0	4.43564859430681	0.0151626905474813	5.4700877832164	0.0151811066215365	5.07510472220949	5.8949147479499	0.0660503276058352	0.400454862932463	0.0195319830659914	0.0470181709649709	0.0949265061675312	5.66754588227852	4.13457417605043	0.106684931411751	0.014576965322627	0.0338091956479564	5.62065091976347	0.0884742062714691	5.67857901345303	0	0.336958582529545	0	0.0135725686080421	0.0572018126389711	4.4591561687448	0	0.0341151176647704
"Kpna2"	4.38182324371072	3.31725051628805	3.57773093149008	3.83821561314423	5.16108954650865	3.53725878766757	0.967488105120367	3.46512557066323	0.235122900525257	5.28001350444263	5.14875111299805	4.50658924861225	5.5218202622201	1.60968878198294	4.93609609055216	6.35958442047994	5.89731788363183	2.64139574052643	0.967488105120367	0.071391584025232	6.07222802125047	4.02298027351725	6.35101164587865	5.00396196615242	6.04910359986365	6.6328629137498	4.62989862184647	6.79034197976355	6.00381808512698	7.36250495626375	7.5342406205025	7.19055560262448	7.88217226273295	7.30228248953673	7.50719207029563
"Tm4sf5"	0.0882150190850647	0	5.25656536641201	5.95855503534077	5.90762858578472	0	0	0	4.39007607031028	0	0	0	0.423825545753181	0.439467823408467	0	0	0	0	0	0	0	2.90010940557755	0	0	0	0	0	0	0.081505432401111	0	5.33425361713848	0.138273192941917	0	3.31206973571629	0.702768345206632
"2010107G23Rik"	0	0	0.308311941806604	0	0	0	0	0	0	0	0	0	0	0.0434104431436335	0	0	0	0	0	0	0	0	3.40332499265031	0.0954930656332886	0	0	0	0.154252664284859	4.46825746832314	3.07551722864698	3.88119473709682	0.210575891437116	0.121386805666673	1.41998646203781	2.88054056287589
"Pdlim4"	0.13603857591728	0	0	0	0	3.87373446796856	5.61534861048834	0	5.38624879276723	0.158943193688679	0	0.102625347048053	0	0	0	0	0.153858504085093	5.09588645384001	5.61534861048834	0.123980390355104	0	0	0	0	0	0	0	0	0	4.52793359174489	0	0	0	0	0
"Sh3yl1"	0	0	5.10677543606431	0	5.31099805474493	0.142967535482949	0	0.0287518819959738	0.596411384795426	0	0	0	0.247720965473946	5.39833326697447	0.0337219586451058	0.0700534843583833	0	0	0	0	0	0	0	0	0.0295614416332881	0.102982843961027	5.73384509886814	3.0330564443563	0	0.0303862274860726	4.20903219317264	4.27276973243651	0	0.0463137769700779	3.79381266774578
"Tekt1"	0	0	0	0	0	2.3261835338447	0.0874510280755224	0.24799919082712	0	0.0345694422091761	0	3.59569460683892	0	0	0	0	0.248030776340305	3.98368681410692	0.0874510280755224	0.305247971436914	4.39078460404699	0	0.0332436821220954	0	0	0	0	0.221557890082216	0.0843643413679273	4.96576120135677	4.71534429535891	4.32013804297497	0.122034015129798	0	0.0518090555419132
"1810032O08Rik"	0.271101720621774	4.60511500168944	4.85028436866161	4.99103198354213	4.9440338130095	0.36835042374582	5.43275567900909	4.65847999901708	6.66773604238286	0.430820496519771	5.85814764165376	0.108955544914827	5.71851506702348	0	5.80665143673669	0.981029899937738	5.21738195857933	0.084514968528936	5.43275567900909	5.47238054014363	6.12236625851283	5.74788146226693	4.95425215556565	0.304192095021286	6.0863315795188	0.188070440587868	0.0892897314357178	4.93061907902428	4.44916515681218	6.7202510997416	0.16821969023175	0	0.143413011521316	5.85157915563422	4.95844831563063
"1110008L16Rik"	2.25276987033065	0	1.200347407411	2.34380575225231	0.220216020815352	1.94188755919128	0.410812156107793	0.0283180731245438	1.27543621524231	1.7772492649026	4.47255275626224	1.84397580672766	2.39975899190331	2.32410204026587	1.36378784110329	2.23870738690869	1.59753594148619	0.0153953724981951	0.410812156107793	0	4.10459665700329	4.92285909067162	0.126282787080313	2.65237864728179	3.70744748581804	0.0148278767437183	0	4.47807873981545	5.42679476388419	3.73200864413847	3.5531638705095	4.73764350153967	3.36230997008206	3.70102777394684	3.37110298259392
"Nova1"	0	0	0.239782953313252	0	0.0300677863137883	0.0134471663682216	3.0526854178299	2.05603547760865	2.48901364486842	0	3.19071440747332	0.0128401678105886	0.150528482831861	0	0	0	0	0	3.0526854178299	0	0	0.00666651674074156	0	0	2.8697095626359	0	0.0359554803591209	0.0540379790594087	0	0.0862211140506166	3.00846358248992	2.67671874411843	0	0	0.0384093503693306
"Amph"	3.40953350130923	0.0170694330721382	0.129131847560881	0	0.0135641506772575	4.23100992204362	0.0725166270178069	0	0.547782454654424	0	0	0	0.0668474955880076	3.70221425101044	0.0137713689909338	3.45196276620528	3.77156870000454	4.62503079970512	0.0725166270178069	0.0852575332645238	0	0	0	0	0.0142879846838795	0	0	0.0122957691663062	2.71538603241148	0.0123952822464227	0.956379363557783	0	0	0.190499819260403	0
"Sfrp4"	0.0241762537097568	0	0	0	5.08467234826705	0	0.101414627337903	5.37375607885602	0	0	0	0	0	0	0	0	0.101525028141391	4.75145836514492	0.101414627337903	0.0646087686636066	0	0.0823032385804506	0	0	0	0	0	0	3.464067018801	0	2.8393267584333	4.89962036066558	0	0.0419708758694358	4.10134752211241
"Serpinb9b"	0.0251909910863197	0	4.12988470139085	0	0	0	0	3.49395469364137	0	4.20611180429016	0	0	0	0	0	0.187458655474036	0	0.244524209174932	0	0	0	0	0	0	0	0	0	0.380965446130774	0.0117113829014311	2.95171087368129	0.619055168461355	0.808848780434869	0	3.02736817459723	4.11891616266602
"Slc35b3"	4.51867990478131	0	4.91488976290062	0.0453395179890506	4.39600189124665	0	0.502712485966061	0	0.024428763811336	0	4.32423456227053	3.90904341316558	2.57837118167259	3.69837407638624	0.0463246744396571	0.0245689020322746	4.88027410752928	0.169519707511325	0.502712485966061	0	3.71693603803729	0.0252915041247093	0.0464948319408439	0	0	0	0	0.214464296221362	3.50481104434853	3.34920814663811	0.0644548069523529	0.15574664255885	0	3.23969437161198	2.84705483977856
"Xrcc4"	0	0	0	0	0	0	0	0	4.7561426350445	0	0	0	0.512574810968621	6.04224596551688	0.190043357623216	0.184835046038663	0	0	0	0	0.0654275523205382	0.293568245245407	0	0	0	0	0	3.1924435374022	0	0.37805654766745	0	3.68613070163967	0.0282512999539293	4.46483813957031	0.0692362225540017
"Dnajc9"	2.74446682839062	3.20556298617794	2.59369557868959	0.747809296715649	0	0	0	0	0	0	0	0	2.79890281172226	2.19322294189751	0.0279291325696711	0	3.26999661679073	0.0895583522708253	0	0	0	0	0.594802670797866	0	0	0	0	0.394305597361069	0	0	2.4222760655639	0.0278661621596369	0.754843900054464	2.57234643390757	0
"Pdlim2"	0	0	0	0	0	5.10470148132488	5.83972029385188	0.260419557321313	0	0	0	0	6.42409404725773	0	0.13435895865213	0.232136379987135	4.73164487357582	0	5.83972029385188	0	0	0	0	0	0	0.79480926553982	0	0.118583788132644	0.0593975055960504	4.12960449601917	4.72609551652447	0	0	3.91689697115997	0.204407440424771
"Dpys"	0.120640052435004	5.22875713419426	0.0344497116400849	0.0207853610697301	0	0	7.34804647469195	0.0214240084570513	5.1547249636286	0	0	0	0.16017025643441	0	0	0	0.461086358589502	0.14271795653227	7.34804647469195	0.162516850353766	0	0.141843436237169	4.10946921716359	0.15241449140815	0	0	0	0	0	0	0	3.3743342504663	0	0	3.59524106801842
"Asap1"	0	0.0364199170035782	0.00803335621714743	0.232033201455886	3.63788841867442	3.66258150859889	2.99034135773898	0.0296362103757814	4.7710615495741	0.0205322124136008	3.69725117043436	0.109602470553843	0.638593808955573	3.14782604064032	4.44328837481714	0.0309908462115964	0.0132808708182665	2.66273188474155	2.99034135773898	0	0.0109975368227471	2.43551925442516	3.57259867537003	0.0568700968220466	0	0.0204815773515608	0	3.27536171611133	0.496469508072593	2.61905141111768	4.092892420266	0	0.592064211936454	0.00807793116069284	0.434890257301924
"Yaf2"	0	0	0	0.152454730562251	4.26163611760767	0.888728054865414	0.0718472244002312	0	0	5.2550550150501	0.0253686208057397	0	4.85159914323515	0.110402935304181	0.799270533291163	0	5.96652967686646	0.0295964943806836	0.0718472244002312	0	0.0887922236762177	0.0293912540932891	5.84709494026056	0.0317462281812308	0	0.439468887260877	0	0	0	0.0244333029143954	0	0	0.239279492503722	0	0.473737046225536
"Cbr3"	0.0189120050383038	0	0	0.412942989775821	0.808123055691661	0.127658898064818	5.29381187782633	4.55954075877139	5.73191906736317	4.8123185190298	4.94159464067475	0	5.85452184555653	0.305892330337551	0.0791059490426252	5.44849464052401	5.56932702953878	5.20446550576177	5.29381187782633	0.237189229783548	0.0879578213747546	0.0856843451812933	5.66201175982328	6.5878705057602	5.95032143093921	0.371892246942929	5.89188818092865	4.68373574896704	6.49748622806774	6.51509898442483	5.7047696224129	0.0399624954802141	3.89467227411937	5.20160249789307	4.97878137676273
